0s 第人十五集
1437s 天数有变神器更易
1440s 天数有变神器更易
1442s 有德之君替换无德之人
1447s 自然之理也自桓灵以来
1452s 黄巾倡乱天下争霸
1455s 盗贼蜂起奸雄鹰扬
1460s 社稷犹累卵之危
1465s 万灵犹倒悬之急
1467s 我太祖武皇帝
1472s 扫清六合席卷八方
1475s 扫清六合席卷八方
1477s 万民归心四海仰慕
1482s 世祖文帝应天合人
1485s 效法尧禅位于舜
1490s 承继大统这都是奉天行事
1492s 承继大统这都是奉天行事
1497s 足下是聪明人又自比管乐
